Force and yielding meet,together: An attack,is half repulsed.
Shafts of broken sunlight,dissolving Convolutions,of torpid cloud.
The boat drifts to,rest Under the outward,spraying branches.
"She is an iris, Dark","purple, pale rose, Under the gnarled boughs That",shatter their stars of bloom.
She waves,delicately With the movement,of the tree.
Of what,is she,dreaming?
Of long nights lit with orange,"lanterns, Of wine cups and compliments and",kisses of the two-sword men.
And of dawn when weary sleepers Lie,"outstretched on the mats of the palace, And of the iris",stalk that is broken in the fountain.
Autumn winds roll through the,dry leaves On her garments; Autumn,birds shiver Athwart star-hung skies.
"Under the blossoming plum-tree, She expresses","the pilgrimage Of grey souls passing, Athwart love's scarlet",maples To the ash-strewn summit of death.
Iris-amid-clouds,Must be,her name.
Tall and lonely,"as the mountain-iris,",Cold and distant.
She has never known,longing: Many have died,for love of her.
""" He listens idly,",He is content,with her voice.
They are spotted with,"thunder showers, Falling upon",the crimson petals.
She is a fierce kitten,leaping in sunlight Towards,the swaying boughs.
"She is a gust of wind, Bending",in parallel curves the boughs,of the willow-tree.
Gilded hummingbirds are whizzing,"Through the palace garden, Deceived by the jade",petals Of the Emperor's jewel-trees.
The wind half blows,"her robes, That subside Listlessly",As swaying pines.
The wind tosses hers In circles,That recoil upon themselves: How should I,love--as the swaying or tossing wind?
She glances expectantly,"Through the pine avenue, To the cherry-tree summit",Where her lover will appear.
Gold and,vermilion The,afternoon.
I wait here dreaming of vermilion,sunsets: In my heart is a half fear,of the chill autumn rain.
The daimyo,and the courtesan Compliment,each other.
He invites her to walk,"out through the maples, She half refuses,",hiding fear in her heart.
She is like the great,rains That fall over the,earth in winter-time.
Gaily he,offers Packets,of merchandise.
He is a harlequin of,"illusions, His nimble features Skip into smiles,","like rainbows, Cheating the villagers."
But in his heart all the while is,"another knowledge, The sorrow of the bleakness",of the long wet winter night.
One life is a long summer; Tall,hollyhocks stand proud upon its paths; Little yellow,"waves of sunlight, Bring scarlet butterflies."
"Another life is a brief autumn, Fierce",storm-rack scrawled with lightning Passed over it Leaving the naked,"bleeding earth, Stabbed with the swords of the rain."
He plots for,"he is angry, He sneers",for he is bold.
He clinches his fist Like a twisted,"snake; Coiling itself, preparing to raise its head, Above",the long grasses of the plain.
I have forgotten how many,"times he kissed me, But I cannot forget A swaying",branch--a leaf that fell To earth.
He stands irresolute,Cloaking the light of,his lantern.
Tonight he will either find,"new love or a sword-thrust, But his soul is",troubled with ghosts of old regret.
Like vines with crimson,flowers They climb Upwards,Into his heart.
"She was a dream of moons, of fluttering handkerchiefs,","Of flying leaves, of parasols, A riddle made to break my heart; The lightest",impulse To her was more dear than the deep-toned temple bell.
She fluttered to my sword-hilt an,"instant, And then flew away; But who will spend",all day chasing a butterfly?
Is it a vision,Under the,moonlight?
"No, it is only",A beautiful geisha,swaying down the street.
"Out of the rings and the bubbles, The curls and the","swirls of the water, Out of the crystalline shower of drops shattered","in play, Her body and her thoughts arose."
Poems are falling from them Swift as the wind,that shakes the lance-like bamboo leaves; The stars close around like bubbles,Stirred by the silver oars of poems passing.
"Beware, for the",dying vine can hold The,strongest oak.
Only by,cutting at the root Can love,be altered.
Late in the night A,rosy glimmer yet defies,the darkness.
