rectory roofers,their ladders,take them higher
summer cabin,the ants,do the dishes
lagoon at sunrise?,the shadow,chases its pelican
barren trees,even the tiniest twig,embraced by the mist
windfall apples,bees tango,to a waltz
that foghorn bawl?,calf separated,from its mother
spray art,the cherry knows,no bounds
cold night,the escalating heat,of my old notebook
fly fishing,my thoughts,untangle
arrows of geese,the puppy chases,leaves on the wind
absently choking,on a sliver of lemon,near-total eclipse
twilight?,a full moon,between fractured branches
at the tulip festival,she holds a bouquet,of dandelions
random rain splatters,on the sidewalk . . .,polka dots
yukon hike,water sloshes to the beat,of the bear bell
spring rain . . .,the dog's coat finer,than mine
winter solstice . . .,a furlong of a dream,curls inside me
autumn sky?,swaying wheat field,shaping the wind
blue sky morning,the hospital huffs,the only clouds
still-life lilies,residents sitting,in the nursing-home lounge
year's end?,only the sound of mouse clicks,from every desk
high tide,wild blackberry canes,overtake the shore
ocean swim,not knowing what's,beneath me
stocking,empty to the toe,the spray of citrus
autumn's last month,still awaiting,my inheritance
after the rain,only a few petals left,with the rose
empty restaurant,all the tables,candlelit
spring again . . .,a songbird's paean,at dawn
the busker,buttons his collar,
rolling thunder,the bass on the car stereo,passing by
a line of gulls,fencing the shoreline,unbroken sun
tax time?,a gnome hunches over his desk,in the garden
a whiff of jasmine,as she unties her hair?,hint of rain
pausing to ponder,the dragonfly,on my pen's point
a better day,the sink ant granted,a reprieve
contract signed,the wind catcher,twirls to the right
all night drive,the moon goes full,and past
river eddy,the ripples of fish,catching twilight insects
clown car . . .,nothing works,but the horn
jamun tree . . .,the stains of summer,on my lips
light pollution?,the fireflies flickering,out
morning lights,an egret cluttering,yesterday's foot prints
knee deep in heather,the purple scent,of summer
ear,of barley,crescent moon
morning,a busy spider weaving,leaf to leaf
hovering,over summer clouds . . .,mom's lullaby
still pond,a crooked coconut tree licks,its own image
undercurrents?,the snapping turtle,surfaces
deep noon,a squirrel chases a tree,shadow
washing day,sheets billow,shaping the breeze
midnight moon?,the violet of violets,almost black
hotel ruin,a chime of finches,in the rafters
passing train,strobe light of the setting sun,on the hedges
mountain haze,the remains of my dream,in fading blossoms
hangman?,the snapped branch,of the silver birch
cyan lake . . .,a fishing net catches,the first light
